,title,year,kdrama_id,director,screenwriter,start_dt,end_dt,synopsis,tot_eps_boxcox,duration_boxcox,rank_boxcox,pop_boxcox,music_score_boxcox,story_score_boxcox,acting_cast_score_boxcox,rewatch_value_score_boxcox,overall_score_boxcox,n_helpful_boxcox,pop_std,n_helpful_std,pop_minmax,n_helpful_minmax,content_rt_15+ - Teens 15 or older,content_rt_18+ Restricted (violence & profanity),content_rt_G - All Ages,content_rt_Not Yet Rated,content_rt_R - Restricted Screening (nudity & violence),Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,The Family Is Coming,2015,9170c31a02014b56bb4cec2105086f00,['Joo Dong Min'],['Kim Shin Hye'],1/3/2015,3/15/2015,"A grandma has abandoned her family 50 years ago and suddenly returns one day to distribute a 10-billion-won inheritance to her children and grandchildren. The family members compete over who gets the inheritance, leading to comic hijinks and eventually growth and maturity for all involved.~~ Adapted from the novel “Grandma Is Back”. ",2.108305895962314,548.9783190982779,12.895443929625829,23.544749411123327,35.07045415839223,48.235864913046754,742.5185736285688,8.48639187630532,80.75614697375939,1.7794877872167874,0.37539104179064586,-0.37138232505648316,0.26835221227861566,0.0379746835443038,True,False,False,False,False,True,False,False,False,False,False,True
1,The Lover,2015,2dc531911bd1454288c468ed8de78f4e,['Kim Tae Eun'],['Kim Min Seok'],4/2/2015,6/25/2015,"The series talk about four different couples living together in one apartment complex. Both in their thirties, Oh Do Shi is a voice actor and Ryu Du Ri is a blogger. They simply chose to live together instead of getting married, and have been sharing an apartment for two years. Jeong Yeong Jun and Choi Ji Nyeo are a couple that's twelve years apart in age. Ji Nyeo has the personality of a penny-pinching ajumma and basically supports her younger boyfriend in the hope that he will someday realize his dream, while Yeong Jun is an unemployed musician who carries around a guitar he doesn't know how to play. They've been living together for a year, and are quick to fight and make up. Park Hwan Jong and Ha Seol Eun are in their twenties and have just moved in together. Seol Eun wants her boyfriend to believe that she's the perfect embodiment of femininity, and works tirelessly to keep up the illusion. Lee Jun Jae is a loner who prefers to stay at home, but is forced to find a roommate for financial reasons. He doesn't even want to exchange unnecessary small talk so he advertises for a foreigner who can't speak Korean very well. Enter Takuya, a Japanese guy on his travels. Takuya thinks Jun Jae is wasting his youth, and begins to draw him out into the world.",1.8507029406749629,480.1628738850304,12.160021832054513,13.287990408464307,65.84385618839718,58.85294424731074,1055.0592833607438,13.203798592401979,100.25774564588552,2.4429981238588927,-0.7450609477235951,0.1846515692429595,0.03291820514425183,0.09493670886075949,False,True,False,False,False,False,False,False,False,True,False,False
2,Love of Eve,2015,832b2dcd1ac941348f0dcf54972a7eb0,['Lee Gye Joon'],Others,5/18/2015,10/30/2015,"Three women share a close bond that was deeper than any friendship. Song Ah, Sen Na, and Hyun Ah were both the same age and went to the same schools. Song Ah was an especially giving friend who would do anything for a friend. She absolutely trusted Sen Na and treated her like a sister along with her twin sister Hyun Ah. She thought they would always maintain a close relationship. But she had no idea that Sen Na was planning revenge.(Source: MBC)",2.7910399331148916,407.5378689535169,16.99503114283819,30.79371740082776,0.0,4.990675419262168,16.460048532404034,0.0,6.14992076671012,0.6712093555111057,2.7872518102878074,-0.6802900441117291,0.7751423743663558,0.006329113924050633,True,False,False,False,False,False,True,True,True,True,True,False
3,Love on a Rooftop,2015,5eda227cf639445cbbe1ed6531e28d2d,['Choi Ji Yeong'],"['Choi Min Ki', 'Kim Ji Wan']",4/6/2015,8/21/2015,A drama about a woman who finally becomes a part of a family after re-adoption and man who chooses love over family. ,2.73784074768445,369.4286322814954,12.979499665409582,27.12893346396119,22.069898547439156,20.486378948876723,123.55037235637042,2.686424579956906,25.151860457693566,1.6500013972850192,1.322503568812253,-0.43316386886753233,0.467363414481507,0.03164556962025317,True,False,False,False,False,False,True,True,True,True,True,False
4,"Kill Me, Heal Me",2015,e8c09f0f7d0d4b75a4642eb06d76d811,"['Kim Jin Man', 'Kim Dae Jin']",['Jin Soo Wan'],1/7/2015,3/12/2015,"A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks Oh Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jin’s twin brother, Oh Ri On, a famous mystery novelist, investigates Do Hyeon and his family. (Source: MyDramaList)",2.108305895962314,562.3595899865967,6.748312426785635,4.950322058495997,92.14575224905136,58.85294424731074,1055.0592833607438,13.203798592401979,100.25774564588552,3.4030673656559305,-0.8933823434647147,2.9030394969291238,0.0017522998936103636,0.37341772151898733,True,False,False,False,False,False,False,False,True,True,False,False
5,Delicious Love,2015,a38a585a6c6942e59d32dc64343dcd72,Others,Others,11/5/2015,11/10/2015,"A teen romantic comedy that tells the story of a chef named Sung Jun who is the best at his craft and has no flaws in the eyes of others, but he is simply hopeless when it comes to love. But when he meets a girl who eats everything deliciously, he falls in love at first sight. ",0.9606188858669414,329.8298681862358,13.166946836816944,24.271454384994378,24.388571912530843,4.195746018129288,40.5367343246066,0.0,9.325275982858077,1.3003847392338008,0.5353279685235399,-0.5567269564896308,0.30195882095250015,0.0189873417721519,False,False,False,True,False,True,True,True,True,True,True,True
6,Love Detective Sherlock K,2015,fff500c6bfe746e8968e4c22676859b3,Others,Others,11/11/2015,11/20/2015,"Sherlock K is a beautiful woman disguised as a man. Commissioned by chaebol Do Min-woo, she runs a ‘healing cafe’ where she profiles love psychology. ",1.7504957783346722,146.72305749790004,13.123037363063048,24.420027907491306,8.799067305645945,7.29494170977811,408.63845001286194,0.0,13.298308628526792,1.0441832158964832,0.5698767273708689,-0.6185085003006799,0.30921834908317164,0.012658227848101267,False,False,False,True,False,True,True,True,True,True,True,True
7,The Time We Were Not in Love,2015,12208c74d650417d870f673af98c28d2,['Jo Soo Won'],"['Jung Do Yoon', 'Lee Ha Na']",6/27/2015,8/16/2015,"Choi Won is ""the perfect guy"" - good-looking, tall and fit with an amicable personality. Although he is very popular with women, he can't have a proper relationship because of his friend, Oh Ha Na. A romantic comedy about a man and a woman who have been best friends for 20 years (7000 days). They turn 34 and make a pact to be married before 35, and race each other to the altar while “helping” weed out potential suitors. They find that they're constantly dissatisfied with each other’s boyfriends and girlfriends, because they've really been in love all this time.",1.9998129521799661,575.6259326435508,12.293878625619564,14.241163909546762,41.29170160394426,37.528288387884956,557.3872702293049,4.985631372729365,61.522836759834746,2.2811237372921194,-0.7024706674204222,-0.000693062190188063,0.041867451029476185,0.07594936708860758,True,False,False,False,False,True,False,False,False,False,False,True
8,The Dearest Lady,2015,729e5a41ac7b4bddadd32d410800450a,"['Choi Chang Wook', 'Choi Joon Bae']",['Seo Hyun Joo'],12/7/2015,5/20/2016,An upbeat family-oriented TV miniseries with a mishmash of different generations and different attitudes towards relationships. The difficulties that arise between mother and daughter mostly due to the men they are having a relationship with becomes the central plot that illustrates the challenges that single moms and divorcees face in today’s society. Their lives and the lives of the people they are connected to are depicted in a way that viewers can relate to through a fuzzy warm feeling called love.(Source: MBC),2.7807572110418852,369.4286322814954,16.93704945256419,30.134054209300594,5.853497526970668,11.313606806068284,114.63737759875681,0.0,9.325275982858077,0.6712093555111057,2.4795891560697823,-0.6802900441117291,0.710495024719945,0.006329113924050633,True,False,False,False,False,False,True,True,True,True,True,False
9,The Eccentric Daughter-in-Law,2015,cc11a722be134425b745aa95db84bc36,"['Lee Duk Gun', 'Park Man Young']",['Yoo Nam Kyung'],8/17/2015,9/22/2015,"Oh In Yeong is a former idol group singer. She belonged to a popular 4 member girl group, but, now, she isn't very popular anymore. In order to boost her flagging popularity, In Yeong agrees to appear in a television reality show that pairs up fake mothers- and daughters-in-law. While filming for the TV show, she meets her scripted mother-in-law Yang Chun Ja, a matriarch of a long-standing traditional clan. They end up hating each other on the show, but as fate would have it, the two later end up becoming mother and daughter-in-law for real.",1.8507029406749629,646.7244874072406,12.668238761678586,21.005164581918265,68.01913904449289,41.36810014227611,614.8026854068964,8.930697490046635,78.17720944543697,1.3003847392338008,-0.0773168327605626,-0.5567269564896308,0.17322736091119595,0.0189873417721519,False,False,False,True,False,False,True,True,False,False,False,False
