,title,year,Genre,Tags,Score,Watchers,Main Cast,img url,kdrama_id,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop
0,1% of Anything,2003.0,"Comedy, Romance","Arranged Relationship,, Love/Hate Relationship,, Possessive Male Lead,, School Setting,, Adapted From A Web Novel,, Teacher Female Lead,, Kind Female Lead,, Arrogant Male Lead,, Student,, Rich Man/Poor Woman",7.0,,"Kang Dong Won, Kim Jung Hwa, Han Hye Jin, Lee Byung Wook, Kim Ji Woo, Kim Seung Min",https://i.mydramalist.com/NdPpYc.jpg?v=1,,,,,,26.0,,,,,Netflix,13+ - Teens 13 or older,"Kim Jung Hwa is a young and sincere middle school teacher, who has little interest in money. She is also extremely warm-hearted and loves to help other people. When she helps carry an elderly man\s belongings from the train to another location, the elderly man is extremely thankful. This grandfather turns out to be the extremely rich owner of a well-known conglomerate. His grandson, Kang Dong Won is a quick-tempered businessman who rivals his grandfather, but in an almost comical way. In an order to ""tame"" his favourite grandson, the grandfather agrees to give his entire fortune to the person who marries Kim Jung Hwa, therefore forcing Kang to meet the girl whom his grandfather chose. Although at first, Kim and Kang don\t get along because of Kang\s extremely cute but bad temper, their arguments bring them closer together. Kang starts to get jealous when Kim\s fellow teacher starts liking her too. Through the clever conditions that Kang\s grandfather makes, Kang starts a relationship he does not look forward too. However, what looked like a relationship that would 99% not work out, turns out to be the ""perfect"" match, the 1% chance. Adapted from the web novel ""Something About 1%"" (1% ) by Hyun Go Woon ()., rivals his grandfather, but in an almost comical way. In an order to ""tame"" his favourite grandson, the grandfather agrees to give his entire fortune to the person who marries Kim Jung Hwa, therefore forcing Kang to meet the girl whom his grandfather chose. Although at first, Kim and Kang don\t get along because of Kang\s extremely cute but bad temper, their arguments bring them closer together. Kang starts to get jealous when Kim\s fellow teacher starts liking her too. Through the clever conditions that Kang\s grandfather makes, Kang starts a relationship he does not look forward too. However, what looked like a relationship that would 99% not work out, turns out to be the ""perfect"" match, the 1% chance. Adapted from the web novel ""Something About 1%"" (1% ) by Hyun Go Woon ().",,
1,100 Days My Prince,2018.0,"Historical, Comedy, Romance, Drama","Amnesia,, Hidden Identity,, Marriage Of Convenience,, Joseon Dynasty,, Fake Marriage,, Eccentric Male Lead,, Hardworking Female Lead,, Double Identity,, Strong Female Lead,, Riches To Rags",8.3,,"Doh Kyung Soo, Nam Ji Hyun, Kim Seon Ho, Han So Hee, Jo Sung Ha, Kim Jae Young",https://i.mydramalist.com/p0yXrc.jpg?v=1,53c858d11a284859a1f50699b5aa6f51,"['Lee Jong Jae', 'Nam Sung Woo']",['Noh Ji Sul'],South Korea,Drama,16.0,4500.0,2018-09-10,2018-10-30,"Tuesday, Monday",tvN,15+ - Teens 15 or older,"Lee Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply-rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable age must wed before the age of 28.Hong Shim is a strong, intelligent woman who supports herself and her father. After an attempt on his life, Crown Prince Lee Yul is severely injured and finds himself under the care of the Hong household. He’s experiencing temporary amnesia, and now unaware of his identity, he is free to wander at will as a commoner.Due to the law, he himself passed, Hong Shim, now the oldest unmarried woman in her village, must marry or face punishment from officials. Lee Yul proposes to Hong Shim that they ought to marry. Can their budding romance withstand Lee Yul’s eventual recovery, with his memory fully intact?(Source: AJ and Lee C at MyDramaList)",882.0,140.0
2,100% Era,2021.0,"Romance, Youth","COVID-19,, Rivalry,, Steamy Kiss,, Miniseries,, High School,, Web Series,, Love/Hate Relationship,, Mother-Daughter Relationship,, Student Female Lead,, Student Male Lead",7.5,,"Yoo Jung Woo, Lee Soo Min, Yeo Ji Min, Logan, Lee Seung Yeon, Pyun Kang Yoon",https://i.mydramalist.com/EyqL5_4c.jpg?v=1,4043734ca3a344ceaa5138361f7aafa9,,,South Korea,Drama,8.0,900.0,2021-01-07,2021-02-25,Thursday,Netflix,15+ - Teens 15 or older,"100% Era imagines the post-corona future. How the lives of kids born during the pandemic will look like? What will humanity and teens look like in 2044? Our teenagers living in a more competitive world, where the world no longer needs human hands. For humans, the competition to rise to the top is intensifying. How to secretly love children in the era when schools disappeared and contactless.Hee Jae and Shi Dae attend the same top rank education academy. It focuses on training kids to score 100% on tests, while kids who score below 90% get expelled. In such an environment, Shi Dae and Hee Jae spend their teenage years and grow together.",5532.0,4013.0
3,10000 Ways to Become a Couple,2017.0,,,,,,,fa4d42d8b25a42e0b962fe4e258544b5,,,South Korea,Drama,5.0,600.0,2017-05-31,2018-03-07,Wednesday,,Not Yet Rated,"‘Are we doing alright?’ From the first fight to the feeling of stuck in a rut, the drama portrays ups and downs of a relationship that everyone can relate. (Source: ONDemand Korea) ",99999.0,99999.0
4,109 Strange Things,2017.0,"Romance, Youth, Sci-Fi","Short Length Series,, Web Series,, Student Female Lead,, School Setting,, Young Adult Female Lead,, University,, Miniseries,, Android,, Interspecies Romance,, Artificial Intelligence",6.6,,"Choi  Tae Joon, Jung Chae Yeon, Cho Yi Hyun, Kim Yong Jin, Kim  Tae Yoon, Song Tae Woo",https://i.mydramalist.com/A7eQvc.jpg?v=1,fae1a9e517af4a499dd4e5ce17caacef,,,South Korea,Drama,6.0,780.0,2017-02-01,2017-02-16,"Wednesday, Thursday",Naver TV Cast,Not Yet Rated,"When a robot comes from the future, will a philosophy major understand the significance of it?KDI-109, a robot from the future. He ends up living in the home of Shin Ki Won, a fourth-year college student who is studying philosophy. As Ki Won wrestles with life’s big questions and finding gainful employment after college, can KDI-109 help her find the answers?(Source: IMDb) ",8872.0,3517.0
5,18 Again,2020.0,"Romance, Life, Drama, Fantasy","Second Chance,, First Love,, Father-Son Relationship,, Hardworking Female Lead,, Father-Daughter Relationship,, Mother-Daughter Relationship,, Life Lesson,, Becoming Young,, Hidden Identity,, Character Development",8.7,,"Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon",https://i.mydramalist.com/xnNnq_4c.jpg?v=1,d16ff503ce6a4623a631eaeb99e49e15,['Ha Byung Hoon'],"['Kim Do Yeon', 'Ahn Eun Bin', 'Choi Yi Ryun']",South Korea,Drama,16.0,4200.0,2020-09-21,2020-11-10,"Monday, Tuesday",jTBC,15+ - Teens 15 or older,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn. (Source: Viki)~~ Remake of the American film “17 Again"" [2009].",234.0,115.0
6,18 Again ,2023.0,"Romance, Life, Drama, Fantasy","Second Chance, First Love, Father-Son Relationship, Hardworking Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Life Lesson, Becoming Young, Hidden Identity, Character Development",8.7,"55,291","Kim Ha Neul, Lee Do Hyun, Yoon Sang Hyun",,,,,,,16.0,70.0,2020-09-21,2020-11-10,"Monday, Tuesday",,,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.
Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn.",203.0,122.0
7,18 vs. 29,2005.0,"Comedy, Romance, Drama","Amnesia,, Love Triangle,, Older Woman/Younger Man,, Car Accident,, Enemies To Lovers,, Marriage",7.0,,"Park Sun Young, Ryu Soo Young, Park Eun Hye, Lee  Han Wi, Lee Sang Woo, Jung Da Hye",https://i.mydramalist.com/73vobc.jpg?v=1,,,,,,16.0,,,,,"Viki, WeTV",15+ - Teens 15 or older,"Yu Hye Chan is 29 years old and married to Kang Bong Man, her old classmate from high school whom she initially despised and hated but later fell for. The story opens with her decision to get a divorce, but on the way to the courthouse, she has a car accident. When she wakes up at the hospital, she has no memory of her life past the age of 18. Her husband tries to support her since she is now helpless, and as she begins to recover, she finds herself falling for him all over again, but as she recovers physically, she also begins to regain her memory and along with all of the reasons why she planned to leave. Will they be able to work out their differences, or will this spell the end for their marriage?, tries to support her since she is now helpless, and as she begins to recover, she finds herself falling for him all over again, but as she recovers physically, she also begins to regain her memory and along with all of the reasons why she planned to leave. Will they be able to work out their differences, or will this spell the end for their marriage?",,
8,187 cm Male Friend vs 155 cm Female Friend,2020.0,,,,,,,6d273cc558264686b285d56a027670f5,,,South Korea,Drama,3.0,420.0,2020-04-11,2020-12-05,,,Not Yet Rated,"A short, cute drama about friends-to-lovers couple, with a height difference of 30 cm. Female lead is cute girl called Lee Seul and she's 155 cm, male lead and her childhood bestfriend is Min Ki, who's 187 cm tall.(Source: IceTea_Aiste on MyDramaList) ",54666.0,11142.0
9,20+1,2019.0,,,,,,,d52760463b89456b82774ce735b6aac7,,,South Korea,Drama,6.0,420.0,2019-02-13,2019-03-02,"Wednesday, Saturday",Naver TV Cast,Not Yet Rated,,57629.0,99999.0
